algorithm,implementation,size,run,time_in_ms
mergesort,js,small,1,0.000000
mergesort,js,small,2,0.100000
mergesort,js,small,3,0.100000
mergesort,js,small,4,0.100000
mergesort,js,small,5,0.100000
mergesort,js,small,6,0.000000
mergesort,js,small,7,0.100000
mergesort,js,small,8,0.100000
mergesort,js,small,9,0.100000
mergesort,js,small,10,0.100000
mergesort,js,small,11,0.000000
mergesort,js,small,12,0.100000
mergesort,js,small,13,0.100000
mergesort,js,small,14,0.100000
mergesort,js,small,15,0.000000
mergesort,js,small,16,0.100000
mergesort,js,small,17,0.200000
mergesort,js,small,18,0.000000
mergesort,js,small,19,0.100000
mergesort,js,small,20,0.100000
mergesort,js,small,21,0.100000
mergesort,js,small,22,0.100000
mergesort,js,small,23,0.000000
mergesort,js,small,24,0.100000
mergesort,js,small,25,0.100000
mergesort,js,small,26,0.100000
mergesort,js,small,27,0.100000
mergesort,js,small,28,0.000000
mergesort,js,small,29,0.100000
mergesort,js,small,30,0.100000
mergesort,wasm,small,1,0.000000
mergesort,wasm,small,2,0.100000
mergesort,wasm,small,3,0.000000
mergesort,wasm,small,4,0.100000
mergesort,wasm,small,5,0.100000
mergesort,wasm,small,6,0.000000
mergesort,wasm,small,7,0.100000
mergesort,wasm,small,8,0.000000
mergesort,wasm,small,9,0.100000
mergesort,wasm,small,10,0.000000
mergesort,wasm,small,11,0.000000
mergesort,wasm,small,12,0.100000
mergesort,wasm,small,13,0.100000
mergesort,wasm,small,14,0.000000
mergesort,wasm,small,15,0.100000
mergesort,wasm,small,16,0.000000
mergesort,wasm,small,17,0.000000
mergesort,wasm,small,18,0.100000
mergesort,wasm,small,19,0.000000
mergesort,wasm,small,20,0.200000
mergesort,wasm,small,21,0.000000
mergesort,wasm,small,22,0.100000
mergesort,wasm,small,23,0.000000
mergesort,wasm,small,24,0.100000
mergesort,wasm,small,25,0.000000
mergesort,wasm,small,26,0.100000
mergesort,wasm,small,27,0.000000
mergesort,wasm,small,28,0.000000
mergesort,wasm,small,29,0.100000
mergesort,wasm,small,30,0.100000
quicksort,js,small,1,0.100000
quicksort,js,small,2,0.000000
quicksort,js,small,3,0.000000
quicksort,js,small,4,0.000000
quicksort,js,small,5,0.100000
quicksort,js,small,6,0.100000
quicksort,js,small,7,0.000000
quicksort,js,small,8,0.100000
quicksort,js,small,9,0.000000
quicksort,js,small,10,0.100000
quicksort,js,small,11,0.000000
quicksort,js,small,12,0.000000
quicksort,js,small,13,0.100000
quicksort,js,small,14,0.000000
quicksort,js,small,15,0.100000
quicksort,js,small,16,0.000000
quicksort,js,small,17,0.100000
quicksort,js,small,18,0.000000
quicksort,js,small,19,0.100000
quicksort,js,small,20,0.000000
quicksort,js,small,21,0.000000
quicksort,js,small,22,0.100000
quicksort,js,small,23,0.000000
quicksort,js,small,24,0.000000
quicksort,js,small,25,0.100000
quicksort,js,small,26,0.000000
quicksort,js,small,27,0.000000
quicksort,js,small,28,0.100000
quicksort,js,small,29,0.000000
quicksort,js,small,30,0.100000
quicksort,wasm,small,1,0.000000
quicksort,wasm,small,2,0.100000
quicksort,wasm,small,3,0.000000
quicksort,wasm,small,4,0.000000
quicksort,wasm,small,5,0.100000
quicksort,wasm,small,6,0.000000
quicksort,wasm,small,7,0.000000
quicksort,wasm,small,8,0.000000
quicksort,wasm,small,9,0.000000
quicksort,wasm,small,10,0.100000
quicksort,wasm,small,11,0.000000
quicksort,wasm,small,12,0.000000
quicksort,wasm,small,13,0.100000
quicksort,wasm,small,14,0.000000
quicksort,wasm,small,15,0.100000
quicksort,wasm,small,16,0.000000
quicksort,wasm,small,17,0.100000
quicksort,wasm,small,18,0.000000
quicksort,wasm,small,19,0.000000
quicksort,wasm,small,20,0.000000
quicksort,wasm,small,21,0.000000
quicksort,wasm,small,22,0.100000
quicksort,wasm,small,23,0.000000
quicksort,wasm,small,24,0.000000
quicksort,wasm,small,25,0.000000
quicksort,wasm,small,26,0.100000
quicksort,wasm,small,27,0.000000
quicksort,wasm,small,28,0.100000
quicksort,wasm,small,29,0.000000
quicksort,wasm,small,30,0.000000
mergesort,js,medium,1,13.400000
mergesort,js,medium,2,13.400000
mergesort,js,medium,3,13.500000
mergesort,js,medium,4,13.600000
mergesort,js,medium,5,13.600000
mergesort,js,medium,6,13.400000
mergesort,js,medium,7,13.600000
mergesort,js,medium,8,13.900000
mergesort,js,medium,9,13.400000
mergesort,js,medium,10,13.300000
mergesort,js,medium,11,13.300000
mergesort,js,medium,12,13.400000
mergesort,js,medium,13,13.300000
mergesort,js,medium,14,13.400000
mergesort,js,medium,15,13.300000
mergesort,js,medium,16,13.400000
mergesort,js,medium,17,13.300000
mergesort,js,medium,18,13.500000
mergesort,js,medium,19,13.300000
mergesort,js,medium,20,13.400000
mergesort,js,medium,21,13.300000
mergesort,js,medium,22,13.300000
mergesort,js,medium,23,13.300000
mergesort,js,medium,24,13.300000
mergesort,js,medium,25,13.300000
mergesort,js,medium,26,13.300000
mergesort,js,medium,27,13.400000
